year,3year_KTP,5year_KTP,10year_KTP,3year_CTP,FF_rate,1month_KTP
1999,7.69,8.59,-,8.86,4.75,0.006192976
2000,8.3,8.67,7.76,9.35,5.25,0.006666705
2001,5.68,6.21,6.86,7.05,4,0.004614403
2002,5.78,6.26,6.59,6.56,4.25,0.004693587
2003,4.55,4.76,5.05,5.43,3.75,0.00371482
2004,4.11,4.35,4.73,4.73,3.25,0.003362127
2005,4.27,4.52,4.95,4.68,3.75,0.003490536
2006,4.83,4.96,5.15,5.17,4.5,0.003938553
2007,5.23,5.28,5.35,5.7,5,0.004257223
2008,5.27,5.36,5.57,7.02,3,0.004289029
2009,4.04,4.64,5.17,5.81,2,0.00330589
2010,3.72,4.31,4.77,4.66,2.5,0.003048368
2011,3.62,3.9,4.2,4.41,3.25,0.002967743
2012,3.13,3.24,3.45,3.77,2.75,0.002571646
2013,2.79,3,3.28,3.19,2.5,0.002295788
2014,2.59,2.84,3.18,2.99,2,0.002133128
2015,1.79,1.97,2.3,2.08,1.5,0.001479567
2016,1.44,1.53,1.75,1.89,1.25,0.001192152
2017,1.8,2,2.28,2.33,1.5,0.001487765
2018,2.1,2.31,2.5,2.65,1.75,0.001733379
2019,1.53,1.59,1.7,2.02,1.25,0.001266145
2020,0.99,1.23,1.5,2.13,0.5,0.00082128
